sequence_number,period_display_value,period_number,home_score,coordinate_x,coordinate_y,scoring_play,clock_display_value,team_id,type_id,type_text,away_score,text,score_value,participants_0_athlete_id,participants_1_athlete_id,game_id,away_team_id,away_team_name,away_team_mascot,away_team_abbrev,away_team_name_alt,home_team_id,home_team_name,home_team_mascot,home_team_abbrev,home_team_name_alt,clock_minutes,clock_seconds,half,lag_half,lead_half,game_play_number
6,1st Quarter,1,0,27,2,FALSE,9:37,5,110,Driving Layup Shot,0,Danielle Robinson misses driving layup,0,1014,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,9,37,1,1,1,2
9,1st Quarter,1,0,37,13,FALSE,9:16,9,131,Pullup Jump Shot,0,Sabrina Ionescu misses 18-foot pullup jump shot,0,4066533,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,9,16,1,1,1,4
13,1st Quarter,1,3,41,20,TRUE,8:47,9,92,Jump Shot,0,Michaela Onyenwere makes 26-foot three point jumper (Sami Whitcomb assists),3,4282173,887,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,47,1,1,1,7
15,1st Quarter,1,3,35,2,FALSE,8:23,5,130,Floating Jump Shot,0,Kelsey Mitchell misses 10-foot two point shot,0,3142191,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,23,1,1,1,8
17,1st Quarter,1,3,27,25,FALSE,8:18,5,92,Jump Shot,0,Victoria Vivians misses 25-foot three point jumper,0,3142948,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,18,1,1,1,10
20,1st Quarter,1,6,10,22,TRUE,8:05,9,92,Jump Shot,0,Sami Whitcomb makes 27-foot three point jumper (Kylee Shook assists),3,887,4065849,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,05,1,1,1,12
21,1st Quarter,1,6,2,8,FALSE,7:51,5,92,Jump Shot,0,Kelsey Mitchell misses 24-foot three point jumper,0,3142191,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,7,51,1,1,1,13
25,1st Quarter,1,6,23,3,TRUE,7:31,5,95,Layup Shot,2,Kelsey Mitchell makes layup (Danielle Robinson assists),2,3142191,1014,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,7,31,1,1,1,16
27,1st Quarter,1,8,13,13,TRUE,7:12,9,92,Jump Shot,2,Kylee Shook makes 17-foot jumper (Sabrina Ionescu assists),2,4065849,4066533,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,7,12,1,1,1,17
29,1st Quarter,1,8,22,17,TRUE,6:58,5,131,Pullup Jump Shot,4,Kelsey Mitchell makes 18-foot pullup jump shot,2,3142191,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,58,1,1,1,18
32,1st Quarter,1,9,-214748340,-214748365,TRUE,6:36,9,98,Free Throw - 1 of 2,4,Betnijah Laney makes free throw 1 of 2,1,2593770,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,36,1,1,1,20
33,1st Quarter,1,10,-214748340,-214748365,TRUE,6:36,9,99,Free Throw - 2 of 2,4,Betnijah Laney makes free throw 2 of 2,1,2593770,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,36,1,1,1,21
34,1st Quarter,1,10,27,16,FALSE,6:26,5,92,Jump Shot,4,Kelsey Mitchell misses 16-foot jumper,0,3142191,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,26,1,1,1,22
36,1st Quarter,1,10,25,4,TRUE,6:22,5,114,Turnaround Jump Shot,6,Teaira McCowan makes two point shot,2,3913903,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,22,1,1,1,24
37,1st Quarter,1,10,31,19,FALSE,6:08,9,132,Step Back Jump Shot,6,Michaela Onyenwere misses 20-foot step back jumpshot,0,4282173,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,08,1,1,1,25
39,1st Quarter,1,10,16,9,TRUE,6:02,5,131,Pullup Jump Shot,8,Danielle Robinson makes 13-foot pullup jump shot,2,1014,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,02,1,1,1,27
42,1st Quarter,1,10,24,2,TRUE,5:42,5,110,Driving Layup Shot,10,Danielle Robinson makes driving layup,2,1014,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,5,42,1,1,1,29
43,1st Quarter,1,10,39,21,FALSE,5:28,9,131,Pullup Jump Shot,10,Sabrina Ionescu misses 25-foot three point pullup jump shot,0,4066533,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,5,28,1,1,1,30
45,1st Quarter,1,10,25,3,TRUE,5:18,5,95,Layup Shot,12,Teaira McCowan makes layup (Danielle Robinson assists),2,3913903,1014,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,5,18,1,1,1,32
47,1st Quarter,1,13,6,16,TRUE,5:04,9,92,Jump Shot,12,Sami Whitcomb makes 24-foot three point jumper (Sabrina Ionescu assists),3,887,4066533,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,5,04,1,1,1,33
49,1st Quarter,1,13,25,7,FALSE,4:38,5,92,Jump Shot,12,Danielle Robinson misses jumper,0,1014,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,4,38,1,1,1,34
51,1st Quarter,1,15,26,3,TRUE,4:30,9,95,Layup Shot,12,Michaela Onyenwere makes layup (Sami Whitcomb assists),2,4282173,887,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,4,30,1,1,1,36
53,1st Quarter,1,15,24,3,FALSE,4:12,5,120,Turnaround Hook Shot,12,Teaira McCowan misses 3-foot two point shot,0,3913903,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,4,12,1,1,1,37
55,1st Quarter,1,15,29,20,FALSE,4:00,9,92,Jump Shot,12,Betnijah Laney misses 20-foot jumper,0,2593770,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,4,00,1,1,1,39
57,1st Quarter,1,15,41,18,FALSE,3:51,5,92,Jump Shot,12,Kelsey Mitchell misses 24-foot three point jumper,0,3142191,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,3,51,1,1,1,41
72,1st Quarter,1,18,37,23,TRUE,3:41,9,92,Jump Shot,12,Betnijah Laney makes 26-foot three point jumper (Michaela Onyenwere assists),3,2593770,4282173,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,3,41,1,1,1,50
74,1st Quarter,1,18,18,19,FALSE,3:26,5,92,Jump Shot,12,Jessica Breland misses 20-foot jumper,0,1002,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,3,26,1,1,1,51
78,1st Quarter,1,19,-214748340,-214748365,TRUE,3:19,9,98,Free Throw - 1 of 2,12,Michaela Onyenwere makes free throw 1 of 2,1,4282173,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,3,19,1,1,1,54
79,1st Quarter,1,20,-214748340,-214748365,TRUE,3:19,9,99,Free Throw - 2 of 2,12,Michaela Onyenwere makes free throw 2 of 2,1,4282173,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,3,19,1,1,1,55
80,1st Quarter,1,20,47,8,FALSE,3:06,5,92,Jump Shot,12,Tiffany Mitchell misses 23-foot three point jumper,0,2984741,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,3,06,1,1,1,56
82,1st Quarter,1,20,25,3,FALSE,3:04,5,95,Layup Shot,12,Teaira McCowan misses layup,0,3913903,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,3,04,1,1,1,58
161,1st Quarter,1,20,26,2,FALSE,3:03,5,125,Layup Shot Putback,12,Jazmine Jones blocks Teaira McCowan 's 2-foot two point shot,0,3913903,4065850,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,3,03,1,1,1,60
84,1st Quarter,1,20,35,23,FALSE,2:56,5,92,Jump Shot,12,Kelsey Mitchell misses 25-foot three point jumper,0,3142191,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,2,56,1,1,1,62
86,1st Quarter,1,23,8,18,TRUE,2:49,9,92,Jump Shot,12,Betnijah Laney makes 24-foot three point jumper (Sabrina Ionescu assists),3,2593770,4066533,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,2,49,1,1,1,64
88,1st Quarter,1,23,12,22,FALSE,2:33,5,92,Jump Shot,12,Lindsay Allen misses 25-foot three point jumper,0,3058908,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,2,33,1,1,1,65
92,1st Quarter,1,23,25,3,TRUE,2:27,5,95,Layup Shot,14,Teaira McCowan makes layup (Kelsey Mitchell assists),2,3913903,3142191,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,2,27,1,1,1,68
94,1st Quarter,1,23,36,18,FALSE,2:17,9,92,Jump Shot,14,Betnijah Laney misses 21-foot jumper,0,2593770,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,2,17,1,1,1,69
96,1st Quarter,1,23,26,3,FALSE,2:03,5,110,Driving Layup Shot,14,Tiffany Mitchell misses driving layup,0,2984741,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,2,03,1,1,1,71
100,1st Quarter,1,23,-214748340,-214748365,TRUE,2:03,5,98,Free Throw - 1 of 2,15,Tiffany Mitchell makes free throw 1 of 2,1,2984741,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,2,03,1,1,1,74
101,1st Quarter,1,23,-214748340,-214748365,TRUE,2:03,5,99,Free Throw - 2 of 2,16,Tiffany Mitchell makes free throw 2 of 2,1,2984741,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,2,03,1,1,1,75
113,1st Quarter,1,23,37,22,TRUE,1:42,5,92,Jump Shot,19,Jantel Lavender makes 25-foot three point jumper (Tiffany Mitchell assists),3,1013,2984741,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,1,42,1,1,1,82
114,1st Quarter,1,26,29,25,TRUE,1:30,9,92,Jump Shot,19,Betnijah Laney makes 25-foot three point jumper (Joyner Holmes assists),3,2593770,4068161,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,1,30,1,1,1,83
116,1st Quarter,1,26,23,3,FALSE,1:14,5,110,Driving Layup Shot,19,Tiffany Mitchell misses driving layup,0,2984741,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,1,14,1,1,1,84
203,1st Quarter,1,26,36,23,FALSE,1:07,9,92,Jump Shot,19,Betnijah Laney misses 26-foot three point jumper,0,2593770,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,1,07,1,1,1,86
118,1st Quarter,1,26,18,5,TRUE,53.8,5,95,Layup Shot,21,Kysre Gondrezick makes layup,2,4065820,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,0,53.8,1,1,1,88
119,1st Quarter,1,26,34,23,FALSE,39.8,9,92,Jump Shot,21,Michaela Onyenwere misses 25-foot three point jumper,0,4282173,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,0,39.8,1,1,1,89
121,1st Quarter,1,26,30,19,FALSE,30.4,5,92,Jump Shot,21,Jantel Lavender misses 19-foot jumper,0,1013,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,0,30.4,1,1,1,91
138,2nd Quarter,2,26,15,22,TRUE,9:27,5,92,Jump Shot,24,Kysre Gondrezick makes 24-foot three point jumper (Lindsay Allen assists),3,4065820,3058908,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,9,27,1,1,1,101
146,2nd Quarter,2,26,14,16,FALSE,8:57,5,92,Jump Shot,24,Jantel Lavender misses 19-foot jumper,0,1013,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,57,1,1,1,105
150,2nd Quarter,2,26,37,23,FALSE,8:38,9,92,Jump Shot,24,Sami Whitcomb misses 26-foot three point jumper,0,887,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,38,1,1,1,108
152,2nd Quarter,2,26,23,3,TRUE,8:27,5,110,Driving Layup Shot,26,Lindsay Allen makes driving layup,2,3058908,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,27,1,1,1,110
164,2nd Quarter,2,26,-214748340,-214748365,TRUE,8:27,5,97,Free Throw - 1 of 1,27,Lindsay Allen makes free throw 1 of 1,1,3058908,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,27,1,1,1,115
169,2nd Quarter,2,26,23,4,FALSE,8:02,5,95,Layup Shot,27,Jantel Lavender misses layup,0,1013,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,02,1,1,1,118
171,2nd Quarter,2,26,25,3,TRUE,7:58,5,95,Layup Shot,29,Jantel Lavender makes layup,2,1013,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,7,58,1,1,1,120
175,2nd Quarter,2,27,-214748340,-214748365,TRUE,7:46,9,98,Free Throw - 1 of 2,29,Sabrina Ionescu makes free throw 1 of 2,1,4066533,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,7,46,1,1,1,122
176,2nd Quarter,2,28,-214748340,-214748365,TRUE,7:46,9,99,Free Throw - 2 of 2,29,Sabrina Ionescu makes free throw 2 of 2,1,4066533,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,7,46,1,1,1,123
177,2nd Quarter,2,28,23,4,FALSE,7:22,5,93,Hook Shot,29,Jantel Lavender misses 5-foot hook shot,0,1013,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,7,22,1,1,1,124
179,2nd Quarter,2,30,24,4,TRUE,7:07,9,110,Driving Layup Shot,29,Betnijah Laney makes driving layup (Sabrina Ionescu assists),2,2593770,4066533,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,7,07,1,1,1,126
181,2nd Quarter,2,30,38,20,FALSE,6:55,5,132,Step Back Jump Shot,29,Tiffany Mitchell misses 24-foot step back jumpshot,0,2984741,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,55,1,1,1,127
183,2nd Quarter,2,30,28,16,FALSE,6:46,9,131,Pullup Jump Shot,29,Betnijah Laney misses 16-foot pullup jump shot,0,2593770,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,46,1,1,1,129
185,2nd Quarter,2,30,26,3,FALSE,6:39,5,110,Driving Layup Shot,29,Tiffany Mitchell misses driving layup,0,2984741,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,39,1,1,1,131
198,2nd Quarter,2,33,14,22,TRUE,6:30,9,92,Jump Shot,29,Sabrina Ionescu makes 25-foot three point jumper (Betnijah Laney assists),3,4066533,2593770,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,30,1,1,1,138
200,2nd Quarter,2,33,36,13,TRUE,6:17,5,131,Pullup Jump Shot,31,Victoria Vivians makes 17-foot pullup jump shot,2,3142948,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,17,1,1,1,139
201,2nd Quarter,2,33,34,25,FALSE,6:06,9,92,Jump Shot,31,Sabrina Ionescu misses 26-foot three point jumper,0,4066533,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,06,1,1,1,140
205,2nd Quarter,2,33,23,5,FALSE,5:52,5,92,Jump Shot,31,Chelsey Perry misses 6-foot jumper,0,4282471,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,5,52,1,1,1,142
207,2nd Quarter,2,33,19,9,FALSE,5:33,9,130,Floating Jump Shot,31,Sabrina Ionescu misses 11-foot two point shot,0,4066533,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,5,33,1,1,1,144
209,2nd Quarter,2,33,24,5,FALSE,5:29,9,114,Turnaround Jump Shot,31,Michaela Onyenwere misses 6-foot two point shot,0,4282173,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,5,29,1,1,1,146
211,2nd Quarter,2,33,16,15,TRUE,5:19,5,92,Jump Shot,33,Victoria Vivians makes 18-foot jumper,2,3142948,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,5,19,1,1,1,148
212,2nd Quarter,2,33,27,10,FALSE,5:03,9,130,Floating Jump Shot,33,Sami Whitcomb misses 11-foot two point shot,0,887,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,5,03,1,1,1,149
214,2nd Quarter,2,33,2,4,FALSE,4:52,5,92,Jump Shot,33,Victoria Vivians misses 23-foot three point jumper,0,3142948,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,4,52,1,1,1,151
219,2nd Quarter,2,36,2,8,TRUE,4:35,9,92,Jump Shot,33,Betnijah Laney makes 24-foot three point jumper (Sabrina Ionescu assists),3,2593770,4066533,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,4,35,1,1,1,155
228,2nd Quarter,2,36,13,13,FALSE,3:59,9,131,Pullup Jump Shot,33,Sabrina Ionescu misses 18-foot pullup jump shot,0,4066533,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,3,59,1,1,1,160
230,2nd Quarter,2,36,44,15,TRUE,3:50,5,92,Jump Shot,36,Kelsey Mitchell makes 24-foot three point jumper (Danielle Robinson assists),3,3142191,1014,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,3,50,1,1,1,162
232,2nd Quarter,2,36,12,9,FALSE,3:38,9,92,Jump Shot,36,Kylee Shook misses 16-foot jumper,0,4065849,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,3,38,1,1,1,163
234,2nd Quarter,2,36,18,18,FALSE,3:31,5,131,Pullup Jump Shot,36,Danielle Robinson misses 19-foot pullup jump shot,0,1014,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,3,31,1,1,1,165
236,2nd Quarter,2,38,24,3,TRUE,3:22,9,141,Cutting Layup Shot,36,Kylee Shook makes 4-foot layup (Betnijah Laney assists),2,4065849,2593770,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,3,22,1,1,1,167
238,2nd Quarter,2,38,26,3,TRUE,3:02,5,95,Layup Shot,38,Teaira McCowan makes layup (Kelsey Mitchell assists),2,3913903,3142191,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,3,02,1,1,1,168
240,2nd Quarter,2,40,24,4,TRUE,2:45,9,141,Cutting Layup Shot,38,Betnijah Laney makes 4-foot layup (Sabrina Ionescu assists),2,2593770,4066533,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,2,45,1,1,1,169
242,2nd Quarter,2,40,30,4,TRUE,2:29,5,124,Finger Roll Layup,40,Jessica Breland makes finger roll layup,2,1002,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,2,29,1,1,1,170
243,2nd Quarter,2,40,35,23,FALSE,2:14,9,92,Jump Shot,40,Sami Whitcomb misses 25-foot three point jumper,0,887,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,2,14,1,1,1,171
248,2nd Quarter,2,40,-214748340,-214748365,TRUE,2:03,5,98,Free Throw - 1 of 2,41,Jessica Breland makes free throw 1 of 2,1,1002,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,2,03,1,1,1,175
249,2nd Quarter,2,40,-214748340,-214748365,TRUE,2:03,5,99,Free Throw - 2 of 2,42,Jessica Breland makes free throw 2 of 2,1,1002,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,2,03,1,1,1,176
250,2nd Quarter,2,43,3,8,TRUE,1:50,9,92,Jump Shot,42,Michaela Onyenwere makes 24-foot three point jumper (Sabrina Ionescu assists),3,4282173,4066533,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,1,50,1,1,1,177
252,2nd Quarter,2,43,13,21,FALSE,1:35,5,92,Jump Shot,42,Victoria Vivians misses 24-foot three point jumper,0,3142948,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,1,35,1,1,1,178
256,2nd Quarter,2,43,23,3,TRUE,1:30,5,95,Layup Shot,44,Teaira McCowan makes layup (Jessica Breland assists),2,3913903,1002,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,1,30,1,1,1,181
261,2nd Quarter,2,43,-214748340,-214748365,TRUE,1:02,5,98,Free Throw - 1 of 2,45,Teaira McCowan makes free throw 1 of 2,1,3913903,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,1,02,1,1,1,184
262,2nd Quarter,2,43,-214748340,-214748365,FALSE,1:02,5,99,Free Throw - 2 of 2,45,Teaira McCowan misses free throw 2 of 2,0,3913903,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,1,02,1,1,1,185
264,2nd Quarter,2,43,47,8,FALSE,50.1,9,92,Jump Shot,45,Jessica Breland blocks Michaela Onyenwere 's 23-foot three point jumper,0,4282173,1002,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,0,50.1,1,1,1,187
268,2nd Quarter,2,45,36,15,TRUE,42.2,9,92,Jump Shot,45,Betnijah Laney makes 18-foot jumper,2,2593770,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,0,42.2,1,1,1,189
269,2nd Quarter,2,45,26,2,TRUE,31.2,5,95,Layup Shot,47,Jessica Breland makes layup,2,1002,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,0,31.2,1,1,1,190
272,2nd Quarter,2,46,-214748340,-214748365,TRUE,19.0,9,98,Free Throw - 1 of 2,47,Sabrina Ionescu makes free throw 1 of 2,1,4066533,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,0,19.0,1,1,1,192
275,2nd Quarter,2,47,-214748340,-214748365,TRUE,19.0,9,99,Free Throw - 2 of 2,47,Sabrina Ionescu makes free throw 2 of 2,1,4066533,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,0,19.0,1,1,1,194
276,2nd Quarter,2,47,25,5,FALSE,1.5,5,92,Jump Shot,47,Teaira McCowan misses jumper,0,3913903,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,0,1.5,1,1,1,195
286,3rd Quarter,3,47,17,21,FALSE,9:44,9,92,Jump Shot,47,Betnijah Laney misses 22-foot jumper,0,2593770,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,9,44,2,2,2,200
288,3rd Quarter,3,50,14,22,TRUE,9:37,9,133,Pullup Bank Jump Shot,47,Sabrina Ionescu makes 24-foot three point shot,3,4066533,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,9,37,2,2,2,202
289,3rd Quarter,3,50,13,22,FALSE,9:18,5,92,Jump Shot,47,Kelsey Mitchell misses 25-foot three point jumper,0,3142191,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,9,18,2,2,2,203
291,3rd Quarter,3,52,26,2,TRUE,9:11,9,95,Layup Shot,47,Michaela Onyenwere makes layup (Sabrina Ionescu assists),2,4282173,4066533,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,9,11,2,2,2,205
293,3rd Quarter,3,52,27,7,FALSE,8:55,5,144,Driving Floating Jump Shot,47,Victoria Vivians misses driving floating jump shot,0,3142948,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,55,2,2,2,206
295,3rd Quarter,3,52,25,3,FALSE,8:52,5,95,Layup Shot,47,Teaira McCowan misses layup,0,3913903,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,52,2,2,2,208
297,3rd Quarter,3,52,24,4,TRUE,8:49,5,95,Layup Shot,49,Jantel Lavender makes layup,2,1013,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,49,2,2,2,210
298,3rd Quarter,3,52,21,5,FALSE,8:41,9,92,Jump Shot,49,Kylee Shook misses 6-foot jumper,0,4065849,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,41,2,2,2,211
302,3rd Quarter,3,52,32,4,FALSE,8:26,9,145,Driving Floating Bank Jump Shot,49,Sabrina Ionescu misses two point shot,0,4066533,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,26,2,2,2,214
304,3rd Quarter,3,52,29,4,FALSE,8:02,5,114,Turnaround Jump Shot,49,Teaira McCowan misses 5-foot two point shot,0,3913903,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,8,02,2,2,2,216
306,3rd Quarter,3,54,29,5,TRUE,7:52,9,110,Driving Layup Shot,49,Betnijah Laney makes driving layup (Sabrina Ionescu assists),2,2593770,4066533,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,7,52,2,2,2,218
308,3rd Quarter,3,54,27,3,TRUE,7:29,5,95,Layup Shot,51,Teaira McCowan makes layup (Danielle Robinson assists),2,3913903,1014,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,7,29,2,2,2,219
312,3rd Quarter,3,56,24,3,TRUE,7:14,9,141,Cutting Layup Shot,51,Kylee Shook makes 3-foot layup (Sabrina Ionescu assists),2,4065849,4066533,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,7,14,2,2,2,221
317,3rd Quarter,3,56,29,25,FALSE,6:58,5,132,Step Back Jump Shot,51,Kelsey Mitchell misses 25-foot step back jumpshot,0,3142191,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,58,2,2,2,223
319,3rd Quarter,3,56,21,7,FALSE,6:52,5,95,Layup Shot,51,Jantel Lavender misses layup,0,1013,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,52,2,2,2,225
321,3rd Quarter,3,56,25,4,TRUE,6:50,5,95,Layup Shot,53,Teaira McCowan makes layup,2,3913903,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,50,2,2,2,227
323,3rd Quarter,3,56,19,7,FALSE,6:39,9,144,Driving Floating Jump Shot,53,Sabrina Ionescu misses driving floating jump shot,0,4066533,NA,401320565,5,Indiana,Fever,IND,Indiana,9,New York,Liberty,NY,New York,6,39,2,2,2,229
